"";"id";"time";"activityrecognition#0";"activityrecognition#1";"android.sensor.accelerometer#mean";"android.sensor.accelerometer#min";"android.sensor.accelerometer#max";"android.sensor.accelerometer#std";"android.sensor.game_rotation_vector#mean";"android.sensor.game_rotation_vector#min";"android.sensor.game_rotation_vector#max";"android.sensor.game_rotation_vector#std";"android.sensor.gravity#mean";"android.sensor.gravity#min";"android.sensor.gravity#max";"android.sensor.gravity#std";"android.sensor.gyroscope#mean";"android.sensor.gyroscope#min";"android.sensor.gyroscope#max";"android.sensor.gyroscope#std";"android.sensor.gyroscope_uncalibrated#mean";"android.sensor.gyroscope_uncalibrated#min";"android.sensor.gyroscope_uncalibrated#max";"android.sensor.gyroscope_uncalibrated#std";"android.sensor.light#mean";"android.sensor.light#min";"android.sensor.light#max";"android.sensor.light#std";"android.sensor.linear_acceleration#mean";"android.sensor.linear_acceleration#min";"android.sensor.linear_acceleration#max";"android.sensor.linear_acceleration#std";"android.sensor.magnetic_field#mean";"android.sensor.magnetic_field#min";"android.sensor.magnetic_field#max";"android.sensor.magnetic_field#std";"android.sensor.magnetic_field_uncalibrated#mean";"android.sensor.magnetic_field_uncalibrated#min";"android.sensor.magnetic_field_uncalibrated#max";"android.sensor.magnetic_field_uncalibrated#std";"android.sensor.orientation#mean";"android.sensor.orientation#min";"android.sensor.orientation#max";"android.sensor.orientation#std";"android.sensor.pressure#mean";"android.sensor.pressure#min";"android.sensor.pressure#max";"android.sensor.pressure#std";"android.sensor.proximity#mean";"android.sensor.proximity#min";"android.sensor.proximity#max";"android.sensor.proximity#std";"android.sensor.rotation_vector#mean";"android.sensor.rotation_vector#min";"android.sensor.rotation_vector#max";"android.sensor.rotation_vector#std";"android.sensor.step_counter#mean";"android.sensor.step_counter#min";"android.sensor.step_counter#max";"android.sensor.step_counter#std";"sound#mean";"sound#min";"sound#max";"sound#std";"speed#mean";"speed#min";"speed#max";"speed#std";"target";"user"
"18";"18169";"20.0";"";"100.0";"10.0984940554";"4.1843047427";"20.9653686653";"4.4969256031";"0.813853583331";"0.813853583331";"0.813853583331";"0.0174014987253";"9.80663086123";"9.80663086123";"9.80663086123";"7.03288404602e-06";"1.93665054071";"0.678904506293";"3.54987340019";"1.21351757798";"2.25398694797";"0.880997528043";"4.45218644558";"1.14307353426";"0.0";"0.0";"0.0";"";"6.58922163101";"6.58922163101";"6.58922163101";"2.47802475274";"40.301612871";"40.301612871";"40.301612871";"1.82706093185";"105.773583079";"105.773583079";"105.773583079";"10.022711686";"178.274931843";"62.1331836995";"365.158037853";"116.189427965";"";"";"";"";"";"";"";"";"0.998301852142";"0.998301852142";"0.998301852142";"0.0247925678281";"";"";"";"";"";"";"";"";"";"";"";"";"Walking";"U12"
"20";"7528";"159.0";"";"83.0";"9.89948355866";"6.76255502348";"15.5946688481";"2.83977790765";"0.92180630983";"0.909580099634";"0.937344550356";"0.00940475940246";"9.80665033734";"9.8066494047";"9.80665091385";"4.07729506118e-07";"1.83456339615";"0.329424214041";"3.51205557333";"1.06683836644";"1.58428616183";"0.291985583944";"3.27267658813";"1.01524908502";"1.0";"1.0";"1.0";"";"12.0929509884";"3.90513610057";"33.6048721566";"9.94345623025";"43.1370751917";"41.2760623177";"44.3515589004";"1.15166065028";"125.097886217";"121.218347694";"134.136703853";"6.07656581713";"299.537855747";"290.612464179";"305.317420879";"6.33084998446";"";"";"";"";"";"";"";"";"0.761913388391";"0.68712618146";"0.855705945162";"0.0510605221632";"1490.0";"1490.0";"1490.0";"";"89.7957957723";"89.7957957723";"89.7957957723";"0.0524283856338";"1.125";"1.0";"1.25";"0.176776695297";"Walking";"U1"
"26";"6597";"70.0";"";"100.0";"8.53480660781";"3.97928408662";"14.5397828723";"3.69797101517";"0.983593331849";"0.965434075287";"0.990452818028";"0.0103904305075";"9.80665021875";"9.80664944477";"9.80665121046";"4.95351392634e-07";"1.24405010652";"0.27558380176";"3.03763831274";"0.813041532851";"1.28561727893";"0.464908486735";"2.39230690184";"0.661845432212";"4.5";"3.0";"6.0";"2.12132034356";"5.79444833255";"3.76617891813";"9.02808326331";"2.83047502293";"47.1306574639";"46.3489236103";"48.1080809162";"0.859782798641";"142.670624969";"142.670624969";"142.670624969";"0.258288068873";"381.398462282";"381.398462282";"381.398462282";"103.681809224";"";"";"";"";"5.0";"5.0";"5.0";"";"0.958244699255";"0.916672110681";"0.981473834843";"0.0218122780633";"1201.0";"1201.0";"1201.0";"";"89.7597266226";"89.7597266226";"89.7597266226";"";"1.5";"1.5";"1.5";"";"Walking";"U1"
"29";"22001";"19.0";"";"100.0";"10.4121050534";"5.05376894561";"18.9514750663";"3.32867321693";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2.0";"2.0";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"72.3975561167";"67.2985206758";"77.4965915576";"7.21112507554";"2.236068";"2.236068";"2.236068";"0.0";"Walking";"U6"
"31";"8219";"517.0";"";"51.0";"10.072685729";"10.0060705775";"10.1393008806";"0.0942080507815";"0.770167658119";"0.75880437617";"0.780871887471";"0.0115237392658";"9.80665016735";"9.80664977274";"9.80665045384";"2.29999985638e-07";"0.248017646089";"0.0235832911685";"1.12067908449";"0.30763755423";"0.350948892243";"0.112212492346";"0.630168255367";"0.237882701936";"2.0";"2.0";"2.0";"0.707106781187";"1.33954283341";"0.126053646789";"4.39808314169";"1.77036755448";"36.000573803";"36.000573803";"36.000573803";"1.77109997891";"92.3187595242";"91.8536973624";"92.7838216859";"0.657697216493";"274.793362466";"256.126955459";"285.114309106";"16.195730901";"";"";"";"";"5.0";"5.0";"5.0";"";"0.953037823724";"0.935268282126";"0.964674322019";"0.0124242823907";"6096.0";"6096.0";"6096.0";"";"89.765922812";"89.7504032084";"89.7814424156";"0.0219480339148";"0.0";"0.0";"0.0";"";"Walking";"U1"
"33";"19919";"260.0";"";"5.0";"11.0689491687";"9.76451291455";"14.0281256028";"1.2832040781";"0.943836368089";"0.93679910947";"0.956021332224";"0.0105946975398";"9.80665133496";"9.80665118139";"9.80665159907";"2.29738045934e-07";"0.615398648401";"0.0519646591321";"2.02835837014";"0.655962204127";"0.77845825456";"0.320856788284";"1.25307345775";"0.441447465693";"";"";"";"";"1.72131441249";"1.72131441249";"1.72131441249";"0.852303664368";"39.0611582957";"34.0900038213";"44.5180235685";"3.79703887448";"53.4558534244";"36.378865774";"66.9125478703";"13.3823507983";"258.020318213";"166.195530081";"308.596876052";"62.9160800783";"1011.9184";"1011.9184";"1011.9184";"0.00660437733633";"";"";"";"";"0.955201994901";"0.955201994901";"0.955201994901";"0.0309676109777";"29514.0";"29514.0";"29514.0";"";"77.0642266901";"77.0642266901";"77.0642266901";"4.54934909866";"1.19105";"1.19105";"1.19105";"";"Walking";"U3"
"38";"8292";"69.0";"";"100.0";"9.66800996523";"4.85396314906";"15.9664575542";"3.59750474525";"0.766797692292";"0.692695354656";"0.838374479592";"0.0544284308758";"9.80665013364";"9.80664938764";"9.80665080364";"4.55527911678e-07";"1.42934576729";"0.383322388811";"3.17644946496";"0.81500891082";"1.54006499352";"0.394781194358";"3.08452836378";"1.01658322683";"";"";"";"";"4.1463289829";"2.03778546804";"6.37949781673";"1.79841393075";"45.5206512137";"44.6569052992";"46.252462539";"0.714204501142";"160.972982637";"158.228953391";"163.717011884";"3.88064337595";"190.481093705";"184.735701581";"194.014452177";"4.01060909477";"";"";"";"";"";"";"";"";"0.953692188124";"0.94325163346";"0.961286617262";"0.0075109497412";"542.0";"542.0";"542.0";"";"89.6888441528";"89.6888441528";"89.6888441528";"0.00761742829526";"0.75";"0.75";"0.75";"";"Walking";"U1"
"49";"14599";"17.0";"";"100.0";"10.4136235034";"3.32438745716";"14.6085355752";"4.03183530328";"0.995565251037";"0.995565251037";"0.995565251037";"0.00418203865019";"9.80665039326";"9.80665004952";"9.80665098556";"4.09183404452e-07";"0.597423225122";"0.339193499042";"0.912421216767";"0.167045640237";"0.619693015465";"0.471297195664";"0.70935531933";"0.107886345603";"1.0";"0.0";"2.0";"1.41421356237";"4.22392584314";"2.085425942";"6.20013513342";"1.40995420998";"47.3849759046";"37.3646901103";"58.7790895721";"11.5256020625";"91.5762722247";"87.0721278853";"94.3981492793";"3.34967640736";"365.440150855";"360.976991049";"368.412020394";"3.21525855442";"1023.3276";"1023.3276";"1023.3276";"0.0141704198951";"";"";"";"";"0.934641915757";"0.931710244826";"0.937573586687";"0.00414600879033";"1586.0";"1586.0";"1586.0";"";"77.2211248915";"77.2211248915";"77.2211248915";"";"";"";"";"";"Walking";"U2"
"51";"9276";"100.0";"";"100.0";"10.1775616629";"4.59513110133";"17.636696067";"3.55127096165";"";"";"";"";"9.80949248113";"9.80789901002";"9.81108595224";"0.00225350845501";"";"";"";"";"";"";"";"";"1.0";"0.0";"2.0";"1.41421356237";"2.79150653247";"2.79150653247";"2.79150653247";"0.742019673796";"40.0680568723";"36.6149477673";"43.5992378594";"2.09724720485";"";"";"";"";"92.4159721805";"92.4159721805";"92.4159721805";"2.05871844003";"";"";"";"";"0.0";"0.0";"0.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Walking";"U4"
"56";"14266";"145.0";"";"3.0";"9.91802079279";"5.37197658571";"15.0882141403";"3.43889405756";"0.999042231672";"0.997808677178";"0.999737293812";"0.00107115406977";"9.80665020331";"9.80664982985";"9.80665068543";"3.19658877878e-07";"0.5509889247";"0.165398607179";"1.01856065797";"0.25098910791";"0.749501410559";"0.203076328719";"1.14164422656";"0.407802723317";"5.0";"5.0";"5.0";"1792.51569031";"3.61090998103";"1.06596635381";"5.45536749054";"1.80312311146";"45.3425497413";"43.2074692834";"47.4776301992";"3.01945974032";"72.8778235";"72.8778235";"72.8778235";"0.494362030178";"241.198737426";"237.094186256";"245.303288596";"5.80471193207";"1021.2487";"1021.2487";"1021.2487";"0.0211707770288";"0.0";"0.0";"0.0";"";"0.80265183077";"0.776759931195";"0.823186988664";"0.0221755607084";"2470.0";"2470.0";"2470.0";"";"79.3305176272";"78.5883785143";"80.0726567401";"1.04954319863";"1.2";"1.2";"1.2";"";"Walking";"U2"
