"";"id";"time";"activityrecognition#0";"activityrecognition#1";"android.sensor.accelerometer#mean";"android.sensor.accelerometer#min";"android.sensor.accelerometer#max";"android.sensor.accelerometer#std";"android.sensor.game_rotation_vector#mean";"android.sensor.game_rotation_vector#min";"android.sensor.game_rotation_vector#max";"android.sensor.game_rotation_vector#std";"android.sensor.gravity#mean";"android.sensor.gravity#min";"android.sensor.gravity#max";"android.sensor.gravity#std";"android.sensor.gyroscope#mean";"android.sensor.gyroscope#min";"android.sensor.gyroscope#max";"android.sensor.gyroscope#std";"android.sensor.gyroscope_uncalibrated#mean";"android.sensor.gyroscope_uncalibrated#min";"android.sensor.gyroscope_uncalibrated#max";"android.sensor.gyroscope_uncalibrated#std";"android.sensor.light#mean";"android.sensor.light#min";"android.sensor.light#max";"android.sensor.light#std";"android.sensor.linear_acceleration#mean";"android.sensor.linear_acceleration#min";"android.sensor.linear_acceleration#max";"android.sensor.linear_acceleration#std";"android.sensor.magnetic_field#mean";"android.sensor.magnetic_field#min";"android.sensor.magnetic_field#max";"android.sensor.magnetic_field#std";"android.sensor.magnetic_field_uncalibrated#mean";"android.sensor.magnetic_field_uncalibrated#min";"android.sensor.magnetic_field_uncalibrated#max";"android.sensor.magnetic_field_uncalibrated#std";"android.sensor.orientation#mean";"android.sensor.orientation#min";"android.sensor.orientation#max";"android.sensor.orientation#std";"android.sensor.pressure#mean";"android.sensor.pressure#min";"android.sensor.pressure#max";"android.sensor.pressure#std";"android.sensor.proximity#mean";"android.sensor.proximity#min";"android.sensor.proximity#max";"android.sensor.proximity#std";"android.sensor.rotation_vector#mean";"android.sensor.rotation_vector#min";"android.sensor.rotation_vector#max";"android.sensor.rotation_vector#std";"android.sensor.step_counter#mean";"android.sensor.step_counter#min";"android.sensor.step_counter#max";"android.sensor.step_counter#std";"sound#mean";"sound#min";"sound#max";"sound#std";"speed#mean";"speed#min";"speed#max";"speed#std";"target";"user"
"0";"16170";"78.0";"";"100.0";"9.81147629156";"9.75889547269";"9.84941095639";"0.0146255073331";"0.0293404701347";"0.0290141820322";"0.0295264272136";"0.00011870091454";"9.80665014968";"9.80664908184";"9.80665101272";"4.78069230071e-07";"0.00165077522136";"0.0";"0.00353308255853";"0.000736963641413";"0.0162213599906";"0.0141724221314";"0.0186953157594";"0.000981864545925";"0.0";"0.0";"0.0";"0.0";"0.0209778383629";"0.00249536633909";"0.0524095823954";"0.0110446872158";"57.0996378983";"56.6903871922";"57.5759501429";"0.177548772376";"51.3635659024";"51.1997072531";"51.5392083783";"0.08089925898";"354.286933099";"353.598334711";"354.942707018";"0.2456763287";"1004.09026074";"1004.0554";"1004.1279";"0.0174157640628";"8.0";"8.0";"8.0";"";"0.050413140269";"0.0447771592556";"0.0563513538347";"0.00210922613983";"28966.0";"28966.0";"28966.0";"";"";"";"";"";"0.0";"0.0";"0.0";"0.0";"Still";"U12"
"1";"15871";"145.0";"";"100.0";"9.93920678262";"7.70743742161";"17.1466311902";"1.7759442967";"0.999924605824";"0.99990333472";"0.999945876927";"3.00818830563e-05";"9.80662395218";"9.80662395218";"9.80662395218";"6.47497680352e-07";"0.0363257142488";"0.0116693879272";"0.0593878960242";"0.0202897002181";"0.0390225389502";"0.0141323301437";"0.0854936945061";"0.01862939992";"0.0";"0.0";"0.0";"";"0.879220182554";"0.641116952922";"1.18580992175";"0.278729993124";"29.3512875433";"28.1725051708";"30.3860165208";"0.921547089535";"82.7677601815";"82.4098901832";"83.1256301799";"0.506104605233";"332.695576665";"330.461053684";"339.108607447";"1.70581619737";"1008.27466";"1008.27466";"1008.27466";"";"";"";"";"";"0.999981228739";"0.999963053709";"0.999999403768";"2.57033732154e-05";"";"";"";"";"89.200210191";"89.06514335";"89.3352770319";"0.191013358299";"16.539349";"16.539349";"16.539349";"0.628594593951";"Car";"U12"
"2";"16811";"150.0";"";"100.0";"9.82717783631";"9.80481712742";"9.84926211274";"0.0111991059917";"0.665215406868";"0.665212600816";"0.665218212919";"3.96835608801e-06";"9.80665022401";"9.80665002449";"9.80665042352";"2.82156820261e-07";"0.00152461653211";"0.0";"0.0026093544661";"0.000712700740663";"0.016301566129";"0.0146449655465";"0.0173739375996";"0.000875953734805";"2.0";"2.0";"2.0";"0.707106781187";"0.0341102311454";"0.0257091365417";"0.0425113257492";"0.0118809419274";"29.904926993";"29.7417215373";"30.0383088738";"0.130851298779";"55.6957163835";"55.5018017726";"55.8685063341";"0.128945251661";"74.7526531434";"73.2234934719";"75.2685742895";"0.413704157311";"1005.97754";"1005.97754";"1005.97754";"";"8.0";"8.0";"8.0";"";"0.610456220789";"0.610456220789";"0.610456220789";"0.0113123358202";"";"";"";"";"";"";"";"";"0.0";"0.0";"0.0";"0.0";"Still";"U12"
"3";"15831";"105.0";"";"77.0";"9.67303911332";"7.65967372861";"12.3042975935";"0.862553258429";"0.996220934012";"0.993780916194";"0.99866095183";"0.00345070629065";"9.80663764374";"9.80663764374";"9.80663764374";"2.12056373828e-06";"0.0364403150565";"0.0204630617713";"0.0525122451551";"0.0105527726211";"0.0507587448203";"0.0247315778968";"0.0818868991653";"0.018036503333";"0.0";"0.0";"0.0";"";"1.48836057989";"0.575910313171";"2.41587896373";"0.920076869003";"37.8364706079";"37.52572451";"38.1472167058";"0.439461346105";"95.7438206305";"95.6643091367";"95.8233321243";"0.112446232897";"373.556039427";"359.897249748";"397.071741295";"8.87001056741";"1006.95044";"1006.95044";"1006.95044";"";"";"";"";"";"0.998112317214";"0.998112317214";"0.998112317214";"0.00278751762314";"";"";"";"";"87.4703770994";"87.4703770994";"87.4703770994";"2.28418636125";"17.739895";"17.739895";"17.739895";"0.628594593951";"Car";"U12"
"5";"13480";"559.0";"";"100.0";"9.33048171135";"9.14902923812";"9.52004390746";"0.10385656289";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"33.5";"33.0";"34.0";"0.707106781187";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"57.3611272365";"57.3611272365";"57.3611272365";"1.00661125342";"0.0";"0.0";"0.0";"0.0";"Car";"U8"
"6";"18786";"41.0";"";"100.0";"9.78977129281";"9.7587507121";"9.8161968759";"0.0134885934094";"0.295890065254";"0.295890065254";"0.295890065254";"4.22409326952e-05";"9.80664975354";"9.80664975354";"9.80664975354";"3.43477119119e-07";"0.00409986525381";"0.00273187244818";"0.00657922014811";"0.00180112306541";"0.0429908440802";"0.0417002261146";"0.0441516557365";"0.00101786284223";"45.0";"45.0";"45.0";"";"0.027440833538";"0.0231566960902";"0.0319007138504";"0.00364154653192";"113.643342091";"113.19072486";"114.011622215";"0.193432900419";"170.802621765";"170.521376959";"170.99207584";"0.248411981947";"336.891506916";"336.891506916";"336.891506916";"0.0472997851057";"1036.9332";"1036.919";"1036.95";"0.0110624364405";"";"";"";"";"0.201198417294";"0.201079137095";"0.201317697493";"0.000168687675148";"";"";"";"";"65.1583690063";"65.1583690063";"65.1583690063";"";"";"";"";"";"Train";"U7"
"7";"15268";"20.0";"";"100.0";"9.90601147575";"6.43164569701";"14.2026033269";"1.04468410393";"0.700760401063";"0.686746497181";"0.718339230274";"0.00709599246979";"9.80663268921";"9.80661529197";"9.80664773814";"5.4846081819e-06";"0.140902237072";"0.00656673118978";"0.690413822407";"0.119666966016";"0.142145208906";"0.00682102065811";"0.680812351492";"0.118567845364";"6.81481481481";"3.0";"11.0";"2.57259278127";"1.00351975401";"0.0410309532002";"4.40125666173";"0.739564645855";"26.3738354033";"25.8213103889";"27.067878007";"0.352850585239";"59.4787766729";"58.6469112605";"60.9762248749";"0.581645221564";"253.10237864";"244.988595874";"260.128645117";"3.28471059504";"1007.78348";"1007.7224";"1007.8657";"0.0404420142737";"5.33333333333";"0.0";"8.0";"4.61880215352";"0.929186732937";"0.914070200184";"0.941615192379";"0.00654237337327";"12992.25";"12987.0";"12995.0";"3.59397644214";"";"";"";"";"7.79723926667";"7.5873494";"8.146695";"0.304673347068";"Bus";"U12"
"12";"9972";"11.0";"";"100.0";"9.36572732401";"3.75871187487";"13.7248098125";"2.5084267287";"0.693535970167";"0.693535970167";"0.693535970167";"0.00328832959714";"9.80663776961";"9.80663444585";"9.80664109336";"4.70049939917e-06";"0.296977564711";"0.0495319320474";"0.770731878104";"0.231980726229";"0.334016276273";"0.0576523626494";"0.790935754099";"0.226773027526";"1.0";"1.0";"1.0";"";"0.398539539639";"0.398539539639";"0.398539539639";"";"83.292491101";"83.1163054424";"83.4686767596";"0.249164147888";"105.677528359";"105.677528359";"105.677528359";"6.27413956136";"349.534385901";"346.565446753";"351.76024687";"1.74726884005";"1021.45215";"1021.45215";"1021.45215";"";"";"";"";"";"0.5784314442";"0.5784314442";"0.5784314442";"0.0097035053883";"";"";"";"";"85.0313044729";"85.0313044729";"85.0313044729";"7.03572217878";"6.965024";"6.965024";"6.965024";"0.204413963839";"Car";"U13"
"14";"18258";"7.0";"";"100.0";"9.82620101548";"8.52210623851";"11.3644736774";"0.389263437107";"0.414550152128";"0.397585803035";"0.431514501221";"0.0239912125642";"9.8066447521";"9.8066447521";"9.8066447521";"";"0.0293348051465";"0.028126348093";"0.0305432622";"0.00170901635461";"0.102843297578";"0.102843297578";"0.102843297578";"0.0469608528361";"";"";"";"";"1.36007825006";"1.36007825006";"1.36007825006";"0.480023450825";"44.6333955688";"44.6333955688";"44.6333955688";"0.250899422577";"164.169982878";"164.169982878";"164.169982878";"0.266572059806";"218.687147084";"218.687147084";"218.687147084";"";"";"";"";"";"0.0";"0.0";"0.0";"";"0.964534722062";"0.964534722062";"0.964534722062";"0.0163067944373";"";"";"";"";"78.50624183";"78.50624183";"78.50624183";"0.727791428829";"2.6472714";"2.6472714";"2.6472714";"0.463508424357";"Bus";"U7"
"18";"18169";"20.0";"";"100.0";"10.0984940554";"4.1843047427";"20.9653686653";"4.4969256031";"0.813853583331";"0.813853583331";"0.813853583331";"0.0174014987253";"9.80663086123";"9.80663086123";"9.80663086123";"7.03288404602e-06";"1.93665054071";"0.678904506293";"3.54987340019";"1.21351757798";"2.25398694797";"0.880997528043";"4.45218644558";"1.14307353426";"0.0";"0.0";"0.0";"";"6.58922163101";"6.58922163101";"6.58922163101";"2.47802475274";"40.301612871";"40.301612871";"40.301612871";"1.82706093185";"105.773583079";"105.773583079";"105.773583079";"10.022711686";"178.274931843";"62.1331836995";"365.158037853";"116.189427965";"";"";"";"";"";"";"";"";"0.998301852142";"0.998301852142";"0.998301852142";"0.0247925678281";"";"";"";"";"";"";"";"";"";"";"";"";"Walking";"U12"
