"";"id";"time";"activityrecognition#0";"activityrecognition#1";"android.sensor.accelerometer#mean";"android.sensor.accelerometer#min";"android.sensor.accelerometer#max";"android.sensor.accelerometer#std";"android.sensor.game_rotation_vector#mean";"android.sensor.game_rotation_vector#min";"android.sensor.game_rotation_vector#max";"android.sensor.game_rotation_vector#std";"android.sensor.gravity#mean";"android.sensor.gravity#min";"android.sensor.gravity#max";"android.sensor.gravity#std";"android.sensor.gyroscope#mean";"android.sensor.gyroscope#min";"android.sensor.gyroscope#max";"android.sensor.gyroscope#std";"android.sensor.gyroscope_uncalibrated#mean";"android.sensor.gyroscope_uncalibrated#min";"android.sensor.gyroscope_uncalibrated#max";"android.sensor.gyroscope_uncalibrated#std";"android.sensor.light#mean";"android.sensor.light#min";"android.sensor.light#max";"android.sensor.light#std";"android.sensor.linear_acceleration#mean";"android.sensor.linear_acceleration#min";"android.sensor.linear_acceleration#max";"android.sensor.linear_acceleration#std";"android.sensor.magnetic_field#mean";"android.sensor.magnetic_field#min";"android.sensor.magnetic_field#max";"android.sensor.magnetic_field#std";"android.sensor.magnetic_field_uncalibrated#mean";"android.sensor.magnetic_field_uncalibrated#min";"android.sensor.magnetic_field_uncalibrated#max";"android.sensor.magnetic_field_uncalibrated#std";"android.sensor.orientation#mean";"android.sensor.orientation#min";"android.sensor.orientation#max";"android.sensor.orientation#std";"android.sensor.pressure#mean";"android.sensor.pressure#min";"android.sensor.pressure#max";"android.sensor.pressure#std";"android.sensor.proximity#mean";"android.sensor.proximity#min";"android.sensor.proximity#max";"android.sensor.proximity#std";"android.sensor.rotation_vector#mean";"android.sensor.rotation_vector#min";"android.sensor.rotation_vector#max";"android.sensor.rotation_vector#std";"android.sensor.step_counter#mean";"android.sensor.step_counter#min";"android.sensor.step_counter#max";"android.sensor.step_counter#std";"sound#mean";"sound#min";"sound#max";"sound#std";"speed#mean";"speed#min";"speed#max";"speed#std";"target";"user"
"4";"876";"77.0";"";"100.0";"9.99346632118";"8.96562096134";"10.8916451194";"0.504117059576";"0.563791884308";"0.521799103987";"0.672663744621";"0.0647921318639";"9.8066501563";"9.80664966214";"9.80665053121";"2.64443011405e-07";"0.183202097809";"0.0206668572373";"0.380875066732";"0.0988191384778";"0.265652184888";"0.141208498859";"0.313019733394";"0.0831748152281";"30.0";"30.0";"30.0";"39.5979797464";"1.65830750209";"0.379803005713";"2.7959953197";"1.1222254603";"78.37571835";"76.5432606086";"79.2737394335";"1.10436115049";"157.42921752";"156.79590908";"158.06252596";"0.895633385013";"193.201458416";"35.864971592";"360.560467727";"181.729454699";"";"";"";"";"";"";"";"";"0.322241915004";"0.308054844036";"0.378193174062";"0.0256078524026";"";"";"";"";"89.770732316";"89.770732316";"89.770732316";"0.00638923521873";"9.0";"9.0";"9.0";"";"Car";"U1"
"8";"343";"35.0";"";"100.0";"9.63971144226";"8.99613405513";"10.0278019439";"0.255052884981";"0.969449682672";"0.965963393939";"0.972935971405";"0.00493035680856";"9.80665010213";"9.8066495866";"9.80665038832";"2.15667789345e-07";"0.0415540643649";"0.00801442385723";"0.123026208034";"0.0300742373795";"0.06575401641";"0.0396038786961";"0.116849852424";"0.0293209584453";"2.5";"1.0";"4.0";"2.12132034356";"0.2789968597";"0.157357565789";"0.374630842155";"0.0848212769796";"36.2758019598";"35.4292692093";"37.5821973142";"0.950412143203";"135.955179721";"134.611517396";"136.769306743";"0.937386549196";"131.29409779";"129.655121874";"132.691329461";"1.36531981989";"";"";"";"";"";"";"";"";"0.780795203731";"0.774057911284";"0.786845052675";"0.0050620043871";"";"";"";"";"89.8084408315";"89.8084408315";"89.8084408315";"0.0101714372632";"4.75";"4.75";"4.75";"";"Bus";"U1"
"9";"4650";"27.0";"";"69.0";"9.60210856296";"9.0147864831";"10.0685281258";"0.267790551832";"0.896536138414";"0.894286543493";"0.897685292524";"0.00152896420898";"9.80665022386";"9.80664970788";"9.8066507289";"3.34175541275e-07";"0.0374507823437";"0.0071743899406";"0.0848203035573";"0.0213908240187";"0.0304911474402";"0.0210245735814";"0.0391081185732";"0.00813950524981";"48.0";"48.0";"48.0";"";"0.255171829308";"0.158721899497";"0.345489805073";"0.076332631325";"100.965696313";"100.525532136";"101.24296106";"0.385458471571";"140.174223103";"140.174223103";"140.174223103";"0.322090749462";"151.073183017";"150.492419282";"151.483071142";"0.421325572144";"";"";"";"";"";"";"";"";"0.968082050052";"0.967066420758";"0.96880641366";"0.00047710896432";"";"";"";"";"89.8157384837";"89.8157384837";"89.8157384837";"0.00499508108643";"";"";"";"";"Train";"U1"
"10";"12177";"234.0";"";"100.0";"9.86456460307";"9.55466288207";"10.3433459018";"0.114261228016";"0.783412281389";"0.77993542066";"0.795632957562";"0.00556877615304";"9.80655905389";"9.80655905389";"9.80655905389";"1.31532892159e-05";"0.131283456879";"0.131283456879";"0.131283456879";"0.00333078345825";"0.0671507338295";"0.0671507338295";"0.0671507338295";"1.16183603545";"135.0";"135.0";"135.0";"";"0.0717473330069";"0.0717473330069";"0.0717473330069";"0.289834150485";"47.1691114892";"46.5561656765";"47.7820573019";"0.86683628132";"236.932685918";"236.932685918";"236.932685918";"2.38690913226";"181.208649964";"180.446099431";"182.817730357";"0.983991458769";"";"";"";"";"";"";"";"";"0.999972632859";"0.999952701343";"0.999997205748";"2.26123255981e-05";"9242.0";"9242.0";"9242.0";"";"70.5706212127";"70.5706212127";"70.5706212127";"7.97487839913";"0.0";"0.0";"0.0";"";"Still";"U10"
"11";"4758";"135.0";"";"23.0";"9.44652684362";"8.90104806048";"10.0133646334";"0.317446077076";"0.998855982941";"0.998771518306";"0.999039572731";"8.25090089487e-05";"9.80664997505";"9.8066492417";"9.80665057788";"3.5555748142e-07";"0.0225253837911";"0.00536172226192";"0.0585387240168";"0.0131136008672";"0.0449085803462";"0.0288199302769";"0.0722052705051";"0.0172588972085";"88.0";"87.0";"89.0";"1.41421356237";"0.411267162931";"0.180851619226";"1.12661143437";"0.353829370134";"98.0157620718";"92.4379054063";"103.81263228";"4.212702369";"138.888984937";"138.888984937";"138.888984937";"1.06954944801";"196.714199945";"196.653162642";"196.771742551";"0.0522503107387";"";"";"";"";"";"";"";"";"0.989397875246";"0.98904580171";"0.990213199365";"0.000436269105184";"";"";"";"";"89.7921393254";"89.7921393254";"89.7921393254";"0.037445571794";"";"";"";"";"Train";"U1"
"13";"1937";"563.0";"";"100.0";"9.9320777134";"9.6081022713";"10.2042315535";"0.14597159067";"0.301756901377";"0.299379875817";"0.303967944825";"0.00195130441628";"9.80665013031";"9.80664993784";"9.80665049639";"1.78932704818e-07";"0.0178786481787";"0.00463390104617";"0.0579025124116";"0.0122156273546";"0.0335059199659";"0.0311939106063";"0.0365792792947";"0.00235033239961";"4.5";"1.0";"8.0";"4.94974746831";"0.534977245566";"0.225468109459";"0.725922695201";"0.270474969101";"53.6399886798";"52.7569649074";"54.8312025545";"0.79873803296";"156.936209531";"156.751921618";"157.120497444";"0.260622465946";"333.797871854";"329.002561801";"338.921305074";"4.96750597773";"";"";"";"";"";"";"";"";"0.329745121496";"0.30565852722";"0.372181426726";"0.0233582689507";"";"";"";"";"89.7637850713";"89.7084655786";"89.819104564";"0.0782335768238";"9.5";"9.5";"9.5";"";"Car";"U1"
"15";"3304";"30.0";"";"100.0";"10.1808673375";"10.1604826012";"10.1983757955";"0.013581180744";"0.995052763627";"0.995039055935";"0.995078822775";"1.44741804029e-05";"9.80665005531";"9.80664964314";"9.80665062179";"3.80494644188e-07";"0.0063780323411";"0.00249022314124";"0.0123548807219";"0.00253185174763";"0.0344540090415";"0.029251596318";"0.0392222419129";"0.00327011314185";"5.0";"5.0";"5.0";"";"0.0207045999672";"0.00891724870873";"0.029262323056";"0.00870955462621";"42.0870235666";"41.5633344891";"42.898127495";"0.472455911643";"100.155982366";"99.7763464103";"100.422017451";"0.337493172674";"238.466075036";"238.45266759";"238.479482481";"0.0189609912629";"";"";"";"";"";"";"";"";"0.98980001283";"0.98976628161";"0.989846314207";"3.05181089745e-05";"";"";"";"";"80.6208943317";"80.6208943317";"80.6208943317";"";"";"";"";"";"Still";"U1"
"16";"11660";"32.0";"";"54.0";"9.70915302061";"9.18398283068";"10.5730246893";"0.298172238027";"0.779378917646";"0.76304869551";"0.796032408564";"0.00823328267681";"9.8065455661";"9.8065455661";"9.8065455661";"2.02497577685e-05";"0.251735070851";"0.246238566324";"0.257231575379";"0.00777323124844";"0.0762236447378";"0.0406672941416";"0.111779995334";"0.0502842732416";"2.0";"2.0";"2.0";"";"0.101048539571";"0.0322708838429";"0.169826195299";"0.0972662935188";"39.3508358393";"39.3508358393";"39.3508358393";"4.40347981387";"263.262695407";"261.737083313";"265.24201066";"1.79597155999";"70.728007837";"66.5514920945";"73.6161252716";"2.21056365527";"";"";"";"";"";"";"";"";"0.582883063008";"0.578187394176";"0.58757873184";"0.00664067854663";"";"";"";"";"84.4749283016";"84.4188895265";"84.5309670768";"0.0792507958783";"0.993526";"0.993526";"0.993526";"";"Still";"U10"
"17";"2324";"37.0";"";"100.0";"9.5284919431";"9.05195189964";"9.98701393619";"0.31227376845";"0.78051351925";"0.77322918923";"0.785057156041";"0.00547493390594";"9.8066501231";"9.80664943531";"9.80665058558";"3.54708851948e-07";"0.10837234276";"0.00960855501301";"0.959588475596";"0.189651912449";"0.209903330707";"0.0355757382214";"0.761539344739";"0.229774085721";"";"";"";"";"0.658520920209";"0.22479568919";"1.0315756341";"0.406797435604";"105.952278242";"104.749098456";"108.343230589";"1.3534247128";"87.4971179552";"86.1578832634";"88.8363526469";"1.89396386427";"236.331185897";"234.263202152";"239.153622164";"1.85030084473";"";"";"";"";"";"";"";"";"0.903642052413";"0.897455089638";"0.908650253525";"0.00486643062078";"";"";"";"";"89.7543598185";"89.7543598185";"89.7543598185";"0.0257119212039";"17.75";"17.75";"17.75";"";"Car";"U1"
"19";"3498";"224.0";"";"100.0";"10.1924637694";"10.0852472085";"10.2511188368";"0.0543770990962";"0.99104098409";"0.986502682321";"0.994667648911";"0.00350794758089";"9.80665032176";"9.80664997652";"9.80665073255";"2.60112578335e-07";"0.0881443672973";"0.00818195574075";"0.393253255312";"0.107638935262";"0.0713594500739";"0.0340819734046";"0.142784269041";"0.0452489037207";"5.0";"5.0";"5.0";"";"0.128744857367";"0.0430671763367";"0.251551076693";"0.076834809627";"41.9272166771";"41.2222690347";"42.9633970865";"0.713654713304";"102.699743194";"98.4231693989";"107.117510176";"4.6008283291";"216.872228665";"216.419960108";"217.324497223";"0.639604327851";"";"";"";"";"";"";"";"";"0.997152009535";"0.996052478755";"0.999761568704";"0.00140177825029";"";"";"";"";"69.3492021901";"69.3492021901";"69.3492021901";"1.80533742942";"";"";"";"";"Still";"U1"
